NPRI ID,Facility name,Company name,Address,City,Province,PostalCode,Latitude,Longitude,Emissions,Units,Facility details,Facility information,Report year
31795,Côté Gold,Iamgold Corporation,3 Mesomikenda Lake Road,Gogama,Ontario,P0M 1W0,47.55556,-81.94055,244.42,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331795&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31795,2022
31798,Cape Fc Scl,Shell Canada Limited-1,930 92 Avenue,Grand Prairie,Alberta,T8V 7H2,54.54691,-117.1555,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331798&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31798,2022
31804,Abbt0157003,Velvet Energy Ltd.,,,Alberta,,53.57937,-116.1358,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331804&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31804,2022
31808,Cork Mwb 12-27-51-14 W5,Velvet Energy Ltd.,,,Alberta,,53.43386,-115.9884,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331808&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31808,2022
31809,Pouce Coupe Oil Mwb 06-18-079-11w6,Spartan Delta Corp.,,N/A,Alberta,,55.84529,-119.5565,37.01,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331809&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31809,2022
31810,Pouce Coupe Oil Swb 11-24-079-11w6,Spartan Delta Corp.,,N/A,Alberta,,55.86336,-119.5826,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331810&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31810,2022
31811,Gold Creek Oil Mwb 10-01-069-03w6,Spartan Delta Corp.,,N/A,Alberta,,54.94701,-118.3149,5.38,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331811&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31811,2022
31812,Velvet Gold Creek Mwb 02-23-068-03w6,Velvet Energy Ltd.,,,Alberta,,54.89605,-118.3403,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331812&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31812,2022
31813,Velvet Rosevear Swb 08-22-051-13w5,Velvet Energy Ltd.,,,Alberta,,53.41198,-115.8719,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331813&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31813,2022
31814,Ferrier Oil Swb 03-14-039-09w5,Orlen Upstream Canada Ltd.,,,Alberta,,52.35043,-115.1917,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331814&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31814,2022
31815,Ferrier Swb 16-13-039-09w5,Orlen Upstream Canada Ltd.,,,Alberta,,52.36127,-115.1559,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331815&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31815,2022
31816,Kakwa Gas Mwb 07-10-063-06w6,Orlen Upstream Canada Ltd.,,N/A,Alberta,,54.43433,-118.8152,0.87,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331816&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31816,2022
31817,Kakwa Gas Mwb 07-15-063-06w6,Orlen Upstream Canada Ltd.,,,Alberta,,54.44897,-118.8152,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331817&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31817,2022
31818,Pembina Oil Mwb 16-15-048-02w5,Crescent Point Energy Corp.,,N/A,Alberta,,53.1469,-114.1999,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331818&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31818,2022
